updateDate,code,code_name
2020-06-29,sh.600623,华谊集团
2020-06-29,sh.600633,浙数文化
2020-06-29,sh.600639,浦东金桥
2020-06-29,sh.600640,号百控股
2020-06-29,sh.600642,申能股份
2020-06-29,sh.600643,爱建集团
2020-06-29,sh.600645,中源协和
2020-06-29,sh.600648,外高桥
2020-06-29,sh.600649,城投控股
2020-06-29,sh.600657,信达地产
2020-06-29,sh.600664,哈药股份
2020-06-29,sh.600667,太极实业
2020-06-29,sh.600673,东阳光
2020-06-29,sh.600675,中华企业
2020-06-29,sh.600694,大商股份
2020-06-29,sh.600699,均胜电子
2020-06-29,sh.600704,物产中大
2020-06-29,sh.600707,彩虹股份
2020-06-29,sh.600717,天津港
2020-06-29,sh.600718,东软集团
2020-06-29,sh.600728,佳都科技
2020-06-29,sh.600729,重庆百货
2020-06-29,sh.600733,北汽蓝谷
2020-06-29,sh.600737,中粮糖业
2020-06-29,sh.600739,辽宁成大
2020-06-29,sh.600748,上实发展
2020-06-29,sh.600751,海航科技
2020-06-29,sh.600754,锦江酒店
2020-06-29,sh.600755,厦门国贸
2020-06-29,sh.600757,长江传媒
2020-06-29,sh.600765,中航重机
2020-06-29,sh.600770,综艺股份
2020-06-29,sh.600776,东方通信
2020-06-29,sh.600777,新潮能源
2020-06-29,sh.600779,水井坊
2020-06-29,sh.600782,新钢股份
2020-06-29,sh.600787,中储股份
2020-06-29,sh.600801,华新水泥
2020-06-29,sh.600804,鹏博士
2020-06-29,sh.600808,马钢股份
2020-06-29,sh.600811,东方集团
2020-06-29,sh.600820,隧道股份
2020-06-29,sh.600823,世茂股份
2020-06-29,sh.600827,百联股份
2020-06-29,sh.600835,上海机电
2020-06-29,sh.600839,四川长虹
2020-06-29,sh.600845,宝信软件
2020-06-29,sh.600859,王府井
2020-06-29,sh.600862,中航高科
2020-06-29,sh.600863,内蒙华电
2020-06-29,sh.600869,智慧能源
2020-06-29,sh.600874,创业环保
2020-06-29,sh.600875,东方电气
2020-06-29,sh.600879,航天电子
2020-06-29,sh.600881,亚泰集团
2020-06-29,sh.600884,杉杉股份
2020-06-29,sh.600885,宏发股份
2020-06-29,sh.600895,张江高科
2020-06-29,sh.600901,江苏租赁
2020-06-29,sh.600903,贵州燃气
2020-06-29,sh.600908,无锡银行
2020-06-29,sh.600909,华安证券
2020-06-29,sh.600917,重庆燃气
2020-06-29,sh.600959,江苏有线
2020-06-29,sh.600967,内蒙一机
2020-06-29,sh.600970,中材国际
2020-06-29,sh.600985,淮北矿业
2020-06-29,sh.600996,贵广网络
2020-06-29,sh.601000,唐山港
2020-06-29,sh.601003,柳钢股份
2020-06-29,sh.601005,重庆钢铁
2020-06-29,sh.601016,节能风电
2020-06-29,sh.601019,山东出版
2020-06-29,sh.601068,中铝国际
2020-06-29,sh.601098,中南传媒
2020-06-29,sh.601099,太平洋
2020-06-29,sh.601106,中国一重
2020-06-29,sh.601118,海南橡胶
2020-06-29,sh.601127,小康股份
2020-06-29,sh.601128,常熟银行
2020-06-29,sh.601139,深圳燃气
2020-06-29,sh.601168,西部矿业
2020-06-29,sh.601179,中国西电
2020-06-29,sh.601200,上海环境
2020-06-29,sh.601228,广州港
2020-06-29,sh.601233,桐昆股份
2020-06-29,sh.601333,广深铁路
2020-06-29,sh.601512,中新集团
2020-06-29,sh.601598,中国外运
2020-06-29,sh.601608,中信重工
2020-06-29,sh.601611,中国核建
2020-06-29,sh.601615,明阳智能
2020-06-29,sh.601678,滨化股份
2020-06-29,sh.601689,拓普集团
2020-06-29,sh.601699,潞安环能
2020-06-29,sh.601717,郑煤机
2020-06-29,sh.601718,际华集团
2020-06-29,sh.601799,星宇股份
2020-06-29,sh.601801,皖新传媒
2020-06-29,sh.601811,新华文轩
2020-06-29,sh.601860,紫金银行
2020-06-29,sh.601865,福莱特
2020-06-29,sh.601866,中远海发
2020-06-29,sh.601869,长飞光纤
2020-06-29,sh.601880,大连港
2020-06-29,sh.601928,凤凰传媒
2020-06-29,sh.601958,金钼股份
2020-06-29,sh.601966,玲珑轮胎
2020-06-29,sh.601969,海南矿业
2020-06-29,sh.601975,招商南油
2020-06-29,sh.603000,人民网
2020-06-29,sh.603025,大豪科技
2020-06-29,sh.603056,德邦股份
2020-06-29,sh.603077,和邦生物
2020-06-29,sh.603198,迎驾贡酒
2020-06-29,sh.603225,新凤鸣
2020-06-29,sh.603228,景旺电子
2020-06-29,sh.603233,大参林
2020-06-29,sh.603256,宏和科技
2020-06-29,sh.603317,天味食品
2020-06-29,sh.603328,依顿电子
2020-06-29,sh.603338,浙江鼎力
2020-06-29,sh.603355,莱克电气
2020-06-29,sh.603377,东方时尚
2020-06-29,sh.603379,三美股份
2020-06-29,sh.603444,吉比特
2020-06-29,sh.603486,科沃斯
2020-06-29,sh.603515,欧普照明
2020-06-29,sh.603517,绝味食品
2020-06-29,sh.603556,海兴电力
2020-06-29,sh.603568,伟明环保
2020-06-29,sh.603605,珀莱雅
2020-06-29,sh.603650,彤程新材
2020-06-29,sh.603659,璞泰来
2020-06-29,sh.603707,健友股份
2020-06-29,sh.603712,七一二
2020-06-29,sh.603766,隆鑫通用
2020-06-29,sh.603786,科博达
2020-06-29,sh.603806,福斯特
2020-06-29,sh.603816,顾家家居
2020-06-29,sh.603858,步长制药
2020-06-29,sh.603866,桃李面包
2020-06-29,sh.603868,飞科电器
2020-06-29,sh.603882,金域医学
2020-06-29,sh.603883,老百姓
2020-06-29,sh.603885,吉祥航空
2020-06-29,sh.603888,新华网
2020-06-29,sh.603939,益丰药房
2020-06-29,sh.603983,丸美股份
2020-06-29,sz.000008,神州高铁
2020-06-29,sz.000009,中国宝安
2020-06-29,sz.000012,南玻A
2020-06-29,sz.000021,深科技
2020-06-29,sz.000025,特力A
2020-06-29,sz.000027,深圳能源
2020-06-29,sz.000028,国药一致
2020-06-29,sz.000031,大悦城
2020-06-29,sz.000039,中集集团
2020-06-29,sz.000046,泛海控股
2020-06-29,sz.000050,深天马A
2020-06-29,sz.000060,中金岭南
2020-06-29,sz.000061,农产品
2020-06-29,sz.000062,深圳华强
2020-06-29,sz.000078,海王生物
2020-06-29,sz.000089,深圳机场
2020-06-29,sz.000090,天健集团
2020-06-29,sz.000156,华数传媒
2020-06-29,sz.000158,常山北明
2020-06-29,sz.000301,东方盛虹
2020-06-29,sz.000400,许继电气
2020-06-29,sz.000401,冀东水泥
2020-06-29,sz.000402,金融街
2020-06-29,sz.000415,渤海租赁
2020-06-29,sz.000488,晨鸣纸业
2020-06-29,sz.000501,鄂武商A
2020-06-29,sz.000513,丽珠集团
2020-06-29,sz.000519,中兵红箭
2020-06-29,sz.000528,柳工
2020-06-29,sz.000537,广宇发展
2020-06-29,sz.000543,皖能电力
2020-06-29,sz.000547,航天发展
2020-06-29,sz.000553,安道麦A
2020-06-29,sz.000559,万向钱潮
2020-06-29,sz.000563,陕国投A
2020-06-29,sz.000564,供销大集
2020-06-29,sz.000581,威孚高科
2020-06-29,sz.000598,兴蓉环境
2020-06-29,sz.000600,建投能源
2020-06-29,sz.000623,吉林敖东
2020-06-29,sz.000629,攀钢钒钛
2020-06-29,sz.000630,铜陵有色
2020-06-29,sz.000636,风华高科
2020-06-29,sz.000681,视觉中国
2020-06-29,sz.000685,中山公用
2020-06-29,sz.000686,东北证券
2020-06-29,sz.000690,宝新能源
2020-06-29,sz.000712,锦龙股份
2020-06-29,sz.000717,韶钢松山
2020-06-29,sz.000718,苏宁环球
2020-06-29,sz.000729,燕京啤酒
2020-06-29,sz.000732,泰禾集团
2020-06-29,sz.000738,航发控制
2020-06-29,sz.000739,普洛药业
2020-06-29,sz.000750,国海证券
2020-06-29,sz.000758,中色股份
2020-06-29,sz.000778,新兴铸管
2020-06-29,sz.000785,居然之家
2020-06-29,sz.000800,一汽解放
2020-06-29,sz.000807,云铝股份
2020-06-29,sz.000813,德展健康
2020-06-29,sz.000825,太钢不锈
2020-06-29,sz.000826,启迪环境
2020-06-29,sz.000830,鲁西化工
2020-06-29,sz.000848,承德露露
2020-06-29,sz.000869,张裕A
2020-06-29,sz.000877,天山股份
2020-06-29,sz.000878,云南铜业
2020-06-29,sz.000883,湖北能源
2020-06-29,sz.000887,中鼎股份
2020-06-29,sz.000898,鞍钢股份
2020-06-29,sz.000930,中粮科技
2020-06-29,sz.000932,华菱钢铁
2020-06-29,sz.000937,冀中能源
2020-06-29,sz.000959,首钢股份
2020-06-29,sz.000960,锡业股份
2020-06-29,sz.000967,盈峰环境
2020-06-29,sz.000970,中科三环
2020-06-29,sz.000975,银泰黄金
2020-06-29,sz.000983,西山煤电
2020-06-29,sz.000987,越秀金控
2020-06-29,sz.000988,华工科技
2020-06-29,sz.000990,诚志股份
2020-06-29,sz.000997,新大陆
2020-06-29,sz.000998,隆平高科
2020-06-29,sz.000999,华润三九
2020-06-29,sz.001872,招商港口
2020-06-29,sz.001914,招商积余
2020-06-29,sz.002002,鸿达兴业
2020-06-29,sz.002004,华邦健康
2020-06-29,sz.002010,传化智联
2020-06-29,sz.002013,中航机电
