指数代码,指数简称,指数全称,发布时间,发布机构,指数简介
sh.000011,基金指数,上证基金指数,2000/6/9,上海证券交易所,以上交所上市的所有证券投资基金作为样本，反映了基金的整体价格变动情况。
sz.399103,乐富指数,深证乐富基金指数,2011/12/2,深圳证券交易所,以在深交所上市的全部基金作为指数样本，全面反映深圳证券交易所上市基金及细分产品的二级市场整体走势。
sz.399305,基金指数,深证基金指数,2000/7/3,深圳证券交易所,选取已在深交所上市的所有证券投资基金组成指数样本。
sz.399306,深证ETF,深证ETF指数,2011/12/2,深圳证券交易所,选取在深交所上市的全部ETF组成指数样本，全面反映深圳证券交易所上市基金及细分产品的二级市场整体走势。
sz.399379,国证基金,国证基金指数,2011/12/2,深圳证券交易所,由沪深两市所有的上市基金组成样本，全面反映沪深两市所有上市基金及细分产品的二级市场整体走势。
sz.399380,国证ETF,国证ETF指数,2011/12/2,深圳证券交易所,由沪深两市所有的ETF组成样本，全面反映沪深两市所有上市基金及细分产品的二级市场整体走势。
