参数名称,参数描述
pubDate,公告日期
effectiveDate,生效日期
bigInstitutionsRatioPre,人民币存款准备金率：大型存款类金融机构 调整前
bigInstitutionsRatioAfter,人民币存款准备金率：大型存款类金融机构 调整后
mediumInstitutionsRatioPre,人民币存款准备金率：中小型存款类金融机构 调整前
mediumInstitutionsRatioAfter,人民币存款准备金率：中小型存款类金融机构 调整后
